보험가입연도,계약자_업종,계약자_소재지,계약자_기업규모,계약자_업력,취급종류,보험금액
2011,G46612,서울,중소기업, 16 ,어음보험,15000000 
2011,C29171,서울,중소기업, 7 ,어음보험,14000000 
2011,C24229,경기,중소기업, 9 ,어음보험,60000000 
2011,C26110,충북,중소기업, 2 ,어음보험,6000000 
2011,C25924,인천,중소기업, 5 ,어음보험,7000000 
2011,C22229,강원,중소기업, 11 ,어음보험,11000000 
2011,C32021,충북,중소기업, 10 ,어음보험,12000000 
2011,C29294,인천,중소기업, 9 ,어음보험,7000000 
2011,C29174,경기,중소기업, 7 ,어음보험,54000000 
2011,C29174,경기,중소기업, 7 ,어음보험,18000000 
2011,C25941,경기,중소기업, 24 ,어음보험,3000000 
2011,C25941,경기,중소기업, 24 ,어음보험,5000000 
2011,C25941,경기,중소기업, 24 ,어음보험,6000000 
2011,C25119,경기,중소기업, 12 ,어음보험,100000000 
2011,G46621,인천,중소기업, 10 ,어음보험,44000000 
2011,C24132,충북,중소기업, 18 ,어음보험,195000000 
2011,G46432,서울,중소기업, 14 ,어음보험,14000000 
2011,G46432,서울,중소기업, 14 ,어음보험,12000000 
2011,C25913,경기,중소기업, 12 ,어음보험,11000000 
2011,G46599,경기,중소기업, 9 ,어음보험,3000000 
2011,G46599,경기,중소기업, 9 ,어음보험,4000000 
2011,G46599,경기,중소기업, 9 ,어음보험,5000000 
2011,G46599,경기,중소기업, 9 ,어음보험,4000000 
2011,G46599,경기,중소기업, 9 ,어음보험,5000000 
2011,G46699,서울,중소기업, 3 ,어음보험,39000000 
2011,G46444,대전,중소기업, 6 ,어음보험,7000000 
2011,C20302,경기,중소기업, 8 ,어음보험,12000000 
2011,C33910,경기,중소기업, 11 ,어음보험,17000000 
2011,C33910,경기,중소기업, 11 ,어음보험,4000000 
2011,G46721,경기,중소기업, 10 ,어음보험,18000000 
2011,G46721,경기,중소기업, 10 ,어음보험,17000000 
2011,C14202,서울,중소기업, 11 ,어음보험,19000000 
2011,G46699,경기,중소기업, 7 ,어음보험,8000000 
2011,C22211,충북,중소기업, 6 ,매출채권보험,200000000 
2011,C29133,대구,중소기업, 24 ,어음보험,41000000 
2011,C29133,대구,중소기업, 24 ,어음보험,20000000 
2011,C24199,충북,중소기업, 12 ,어음보험,24000000 
2011,C25119,경기,중소기업, 12 ,어음보험,53000000 
2011,C28909,경남,중소기업, 6 ,어음보험,5000000 
2011,C28909,경남,중소기업, 6 ,어음보험,6000000 
2011,G45219,충북,중소기업, 14 ,어음보험,7000000 
