취급종류,구매자_업종,구매자_기업규모,구매자_소재지,계약자_업종,계약자_기업규모,계약자_소재지,인수일자,사고처리일자,사고사유,사고처리금액,사고정상해지금액,보상해지금액,보험금지급액,대위권원금회수금액,대위권발생일자,정상해지일자
매출채권보험,G47911,중소기업,부산,G46510,중소기업,부산,2012-03,2013-01,이행지체,148000000 ,0 ,148000000 ,147000000 ,0 , 2013-02 ,  
매출채권보험,C26429,중소기업,인천,G46521,중소기업,서울,2012-05,2013-05,이행지체,200000000 ,200000000 ,0 ,0 ,0 ,  , 2013-10 
매출채권보험,F41122,중소기업,서울,C25113,중소기업,경남,2011-06,2011-12,거래정지처분(예금부족),40000000 ,40000000 ,0 ,0 ,0 ,  , 2013-10 
매출채권보험,F42202,중소기업,서울,G46621,중소기업,서울,2012-03,2012-09,이행지체,50000000 ,13000000 ,37000000 ,36000000 ,0 , 2013-01 ,  
매출채권보험,F42202,중소기업,서울,G46721,중소기업,경기,2012-03,2012-09,이행지체,50000000 ,46000000 ,4000000 ,4000000 ,0 , 2013-02 , 2013-02 
매출채권보험,F42202,중소기업,서울,C24131,중소기업,경기,2012-06,2012-09,이행지체,38000000 ,0 ,38000000 ,38000000 ,0 , 2013-01 ,  
매출채권보험,F42202,중소기업,서울,C29172,중소기업,경기,2011-08,2012-09,이행지체,28000000 ,5000000 ,23000000 ,23000000 ,0 , 2013-01 , 2013-01 
매출채권보험,F42202,중소기업,서울,C25112,중소기업,경기,2011-10,2012-09,거래정지처분(예금부족),21000000 ,9000000 ,12000000 ,12000000 ,0 , 2013-02 , 2013-09 
매출채권보험,F42202,중소기업,서울,C28519,중소기업,경기,2012-02,2012-09,이행지체,40000000 ,8000000 ,32000000 ,32000000 ,0 , 2012-10 , 2013-01 
매출채권보험,C29241,중소기업,충남,G46791,중소기업,충남,2012-09,2013-10,이행지체,480000000 ,480000000 ,0 ,0 ,0 ,  , 2013-11 
매출채권보험,C14111,중소기업,서울,C14191,중소기업,서울,2012-09,2013-04,이행지체,100000000 ,0 ,100000000 ,100000000 ,0 , 2013-05 ,  
매출채권보험,C14111,중소기업,서울,G46419,중소기업,서울,2012-12,2013-04,이행지체,100000000 ,77000000 ,23000000 ,23000000 ,0 , 2013-06 , 2013-06 
매출채권보험,C14111,중소기업,서울,G46419,중소기업,서울,2011-11,2013-04,이행지체,60000000 ,0 ,60000000 ,60000000 ,0 , 2013-06 ,  
매출채권보험,C14111,중소기업,서울,C14300,중소기업,서울,2012-10,2013-04,이행지체,296000000 ,94000000 ,202000000 ,202000000 ,0 , 2013-06 , 2013-07 
어음보험,C14111,중소기업,서울,G46413,중소기업,서울,2013-03,2013-04,거래정지처분(예금부족),8000000 ,0 ,8000000 ,8000000 ,0 , 2013-07 ,  
어음보험,C14111,중소기업,서울,G46413,중소기업,서울,2013-03,2013-04,거래정지처분(예금부족),13000000 ,0 ,13000000 ,13000000 ,0 , 2013-07 ,  
매출채권보험,F42209,중소기업,경기,G46599,중소기업,경기,2011-03,2012-11,이행지체,7000000 ,7000000 ,0 ,0 ,0 ,  , 2013-04 
매출채권보험,F42209,중소기업,경기,C29172,중소기업,경기,2011-08,2012-12,이행지체,20000000 ,20000000 ,0 ,0 ,0 ,  , 2013-01 
매출채권보험,F42312,중소기업,경기,G46594,중소기업,서울,2011-08,2013-01,이행지체,9000000 ,1000000 ,8000000 ,8000000 ,0 , 2013-03 , 2013-05 
매출채권보험,F42312,중소기업,경기,C28122,중소기업,경기,2012-03,2013-01,이행지체,50000000 ,0 ,50000000 ,50000000 ,0 , 2013-03 ,  
매출채권보험,G46721,중소기업,서울,G46721,중소기업,경기,2012-04,2013-08,이행지체,500000000 ,0 ,500000000 ,500000000 ,0 , 2013-09 , 2013-10 
매출채권보험,G46721,중소기업,서울,G46721,중소기업,경기,2013-03,2013-10,이행지체,120000000 ,114000000 ,6000000 ,6000000 ,0 , 2013-12 , 2013-12 
매출채권보험,G46721,중소기업,서울,G46721,중소기업,경기,2012-08,2013-08,이행지체,20000000 ,0 ,20000000 ,20000000 ,0 , 2013-11 ,  
매출채권보험,G46721,중소기업,서울,G46721,중소기업,서울,2012-06,2013-10,이행지체,100000000 ,100000000 ,0 ,0 ,0 ,  , 2013-10 
매출채권보험,G46721,중소기업,서울,G46721,중소기업,서울,2013-06,2013-10,이행지체,100000000 ,62000000 ,38000000 ,38000000 ,0 , 2013-10 , 2013-11 
어음보험,C29230,중소기업,인천,G46413,중소기업,인천,2012-09,2013-01,회생절차 등,5000000 ,0 ,5000000 ,5000000 ,0 , 2013-01 ,  
매출채권보험,F42121,중소기업,경기,C25113,중소기업,경기,2011-06,2012-09,이행지체,50000000 ,38000000 ,12000000 ,12000000 ,0 , 2013-04 , 2013-04 
